REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PS-CNA,04 Feb 2022,Breves (BVS),Belem (BEL),AD5582,—,8:35,8:28,9:40,Estimated departure 08:28
PS-CNA,04 Feb 2022,—,Belem (BEL),AD5582,0:54,11:28,11:28,9:22,Landed 09:22
PS-CNA,04 Feb 2022,Belem (BEL),Breves (BVS),AD5581,0:45,7:00,6:56,8:00,Landed 07:41
PS-CNA,03 Feb 2022,Tucurui (TUR),Belem (BEL),AD5330,1:17,14:50,14:44,16:15,Landed 16:01
PS-CNA,03 Feb 2022,Belem (BEL),Tucurui (TUR),AD5329,1:05,12:45,12:49,14:15,Landed 13:54
PS-CNA,03 Feb 2022,Paragominas (JPE),Belem (BEL),AD5328,0:52,11:55,10:56,12:00,Landed 11:48
PS-CNA,03 Feb 2022,Belem (BEL),Paragominas (JPE),AD5327,0:48,9:15,9:25,11:25,Landed 10:13
PS-CNA,03 Feb 2022,—,Belem (BEL),AD5550,0:59,10:28,10:28,8:27,Landed 08:27
PS-CNA,03 Feb 2022,Breves (BVS),Belem (BEL),AD5324,—,7:25,7:29,8:30,Estimated departure 07:29
PS-CNA,03 Feb 2022,Belem (BEL),Tucurui (TUR),AD5550,0:46,6:05,6:05,6:51,Landed 06:51
PS-CNA,03 Feb 2022,Belem (BEL),Breves (BVS),AD5323,—,6:00,6:04,7:00,Estimated departure 06:04
PS-CNA,02 Feb 2022,Santarem (STM),Belem (BEL),AD5550,2:45,14:51,14:51,17:36,Landed 17:36
PS-CNA,02 Feb 2022,Santarem (STM),Belem (BEL),AD5468,—,14:30,14:51,17:20,Estimated departure 14:51
PS-CNA,02 Feb 2022,Itaituba (ITB),Santarem (STM),AD5550,—,12:35,12:33,13:40,Estimated departure 12:33
PS-CNA,02 Feb 2022,Juruti (JRT),Itaituba (ITB),AD5550,2:22,9:55,10:05,11:55,Landed 13:27
PS-CNB,11 Feb 2022,Juína (JIA),Aripuanã (AIR),AD5596,—,10:25,—,11:10,Scheduled
PS-CNB,11 Feb 2022,Cuiaba (CGB),Juína (JIA),AD5596,—,7:45,—,10:00,Scheduled
PS-CNB,10 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5341,—,20:50,—,21:35,Scheduled
PS-CNB,10 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,—,17:20,—,20:05,Scheduled
PS-CNB,09 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5341,—,19:50,—,20:35,Scheduled
PS-CNB,09 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,—,16:20,—,19:05,Scheduled
PS-CNB,09 Feb 2022,Tangara Da Serra (TGQ),Cuiaba (CGB),AD5598,—,14:45,—,15:40,Scheduled
PS-CNB,09 Feb 2022,Juína (JIA),Tangara Da Serra (TGQ),AD5598,—,12:50,—,14:25,Scheduled
PS-CNB,09 Feb 2022,Aripuanã (AIR),Juína (JIA),AD5597,—,11:35,—,12:20,Scheduled
PS-CNB,09 Feb 2022,Juína (JIA),Aripuanã (AIR),AD5596,—,10:25,10:53,11:10,Estimated 11:25
PS-CNB,09 Feb 2022,Cuiaba (CGB),Juína (JIA),AD5596,2:03,7:45,7:51,10:00,Landed 09:54
PS-CNB,08 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5861,1:27,21:10,20:51,21:55,Landed 22:18
PS-CNB,08 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,1:25,17:40,18:49,20:25,Landed 20:15
PS-CNB,08 Feb 2022,Agua Boa (GGB),Cuiaba (CGB),AD5512,—,16:10,—,17:10,Unknown
PS-CNB,08 Feb 2022,Agua Boa (GGB),Cuiaba (CGB),AD5512,1:52,15:03,15:03,16:55,Landed 16:55
PS-CNB,08 Feb 2022,—,Agua Boa (GGB),AD5512,2:13,16:21,16:21,14:34,Landed 14:34
PS-CNB,08 Feb 2022,Agua Boa (GGB),São Félix Do Araguaia (SXO),AD5510,1:09,11:25,10:40,11:45,Landed 11:49
PS-CNB,08 Feb 2022,Cuiaba (CGB),Agua Boa (GGB),AD5510,1:45,8:05,8:14,11:05,Landed 10:00
PS-CNB,07 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5341,1:34,20:10,20:02,20:55,Landed 21:36
PS-CNB,07 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,1:28,16:40,17:34,19:25,Landed 19:02
PS-CNB,07 Feb 2022,Tangara Da Serra (TGQ),Cuiaba (CGB),AD5598,1:18,15:05,15:22,16:00,Landed 16:39
PS-CNB,07 Feb 2022,Juína (JIA),Tangara Da Serra (TGQ),AD5598,1:22,13:10,13:33,14:45,Landed 14:55
PS-CNB,07 Feb 2022,Aripuanã (AIR),Juína (JIA),AD5597,—,11:55,12:08,12:40,Estimated departure 12:08
PS-CNB,07 Feb 2022,—,—,AD5339,—,15:00,15:00,—,Unknown
PS-CNB,07 Feb 2022,Juína (JIA),Aripuanã (AIR),AD5596,—,10:45,10:59,11:30,Estimated departure 10:59
PS-CNB,07 Feb 2022,Cuiaba (CGB),—,2F5339,—,8:14,8:14,—,Unknown
